Mnd;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre;Ap_lag1;Ap_lag3;Ap_lag6;Hoyre_lag1;Hoyre_lag3;Hoyre_lag6;Frp_lag1;Frp_lag3;Frp_lag6;SV_lag1;SV_lag3;SV_lag6;Sp_lag1;Sp_lag3;Sp_lag6;KrF_lag1;KrF_lag3;KrF_lag6;Venstre_lag1;Venstre_lag3;Venstre_lag6;MDG_lag1;MDG_lag3;MDG_lag6;Rodt_lag1;Rodt_lag3;Rodt_lag6;Andre_lag1;Andre_lag3;Andre_lag6
2008-01-31;29.3;17.2;23.9;7.4;6.1;6.4;6.5;0.0;1.3;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-02-29;29.0;17.3;25.2;6.7;5.9;6.3;6.6;0.0;1.3;0.0;29.3;;;17.2;;;23.9;;;7.4;;;6.1;;;6.4;;;6.5;;;0.0;;;1.3;;;0.0;;
2008-03-31;28.7;18.1;25.2;7.0;5.6;6.1;6.3;0.0;1.1;0.0;29.0;;;17.3;;;25.2;;;6.7;;;5.9;;;6.3;;;6.6;;;0.0;;;1.3;;;0.0;;
2008-04-30;29.0;16.9;25.4;6.5;5.5;7.0;6.8;0.0;1.2;0.0;28.7;29.3;;18.1;17.2;;25.2;23.9;;7.0;7.4;;5.6;6.1;;6.1;6.4;;6.3;6.5;;0.0;0.0;;1.1;1.3;;0.0;0.0;
2008-05-31;28.9;17.8;25.9;6.7;5.7;6.2;6.2;0.0;1.4;0.0;29.0;29.0;;16.9;17.3;;25.4;25.2;;6.5;6.7;;5.5;5.9;;7.0;6.3;;6.8;6.6;;0.0;0.0;;1.2;1.3;;0.0;0.0;
2008-06-30;26.0;17.6;28.9;6.9;5.3;6.1;5.9;0.0;1.8;0.0;28.9;28.7;;17.8;18.1;;25.9;25.2;;6.7;7.0;;5.7;5.6;;6.2;6.1;;6.2;6.3;;0.0;0.0;;1.4;1.1;;0.0;0.0;
2008-07-31;26.9;17.2;30.2;6.6;4.7;6.1;5.4;0.0;1.9;0.0;26.0;29.0;29.3;17.6;16.9;17.2;28.9;25.4;23.9;6.9;6.5;7.4;5.3;5.5;6.1;6.1;7.0;6.4;5.9;6.8;6.5;0.0;0.0;0.0;1.8;1.2;1.3;0.0;0.0;0.0
2008-08-31;26.6;16.2;30.9;6.7;5.2;5.5;6.0;0.0;1.7;0.0;26.9;28.9;29.0;17.2;17.8;17.3;30.2;25.9;25.2;6.6;6.7;6.7;4.7;5.7;5.9;6.1;6.2;6.3;5.4;6.2;6.6;0.0;0.0;0.0;1.9;1.4;1.3;0.0;0.0;0.0
2008-09-30;28.9;15.2;29.9;6.3;5.0;5.7;5.9;0.0;1.5;0.0;26.6;26.0;28.7;16.2;17.6;18.1;30.9;28.9;25.2;6.7;6.9;7.0;5.2;5.3;5.6;5.5;6.1;6.1;6.0;5.9;6.3;0.0;0.0;0.0;1.7;1.8;1.1;0.0;0.0;0.0
2008-10-31;30.6;16.1;26.7;7.3;5.3;5.6;5.5;0.0;1.2;0.0;28.9;26.9;29.0;15.2;17.2;16.9;29.9;30.2;25.4;6.3;6.6;6.5;5.0;4.7;5.5;5.7;6.1;7.0;5.9;5.4;6.8;0.0;0.0;0.0;1.5;1.9;1.2;0.0;0.0;0.0
2008-11-30;31.4;15.9;24.2;7.8;5.5;6.6;5.8;0.0;1.4;0.0;30.6;26.6;28.9;16.1;16.2;17.8;26.7;30.9;25.9;7.3;6.7;6.7;5.3;5.2;5.7;5.6;5.5;6.2;5.5;6.0;6.2;0.0;0.0;0.0;1.2;1.7;1.4;0.0;0.0;0.0
2008-12-31;30.7;17.4;23.7;7.8;5.7;6.3;5.5;0.0;0.4;0.0;31.4;28.9;26.0;15.9;15.2;17.6;24.2;29.9;28.9;7.8;6.3;6.9;5.5;5.0;5.3;6.6;5.7;6.1;5.8;5.9;5.9;0.0;0.0;0.0;1.4;1.5;1.8;0.0;0.0;0.0
2009-01-31;33.9;16.1;23.2;7.5;5.5;6.0;4.8;0.0;0.0;0.0;30.7;30.6;26.9;17.4;16.1;17.2;23.7;26.7;30.2;7.8;7.3;6.6;5.7;5.3;4.7;6.3;5.6;6.1;5.5;5.5;5.4;0.0;0.0;0.0;0.4;1.2;1.9;0.0;0.0;0.0
2009-02-28;34.0;15.2;23.9;7.1;5.0;5.9;6.1;0.0;0.0;0.0;33.9;31.4;26.6;16.1;15.9;16.2;23.2;24.2;30.9;7.5;7.8;6.7;5.5;5.5;5.2;6.0;6.6;5.5;4.8;5.8;6.0;0.0;0.0;0.0;0.0;1.4;1.7;0.0;0.0;0.0
2009-03-31;32.8;13.8;27.3;7.0;5.5;6.2;5.0;0.0;0.0;0.0;34.0;30.7;28.9;15.2;17.4;15.2;23.9;23.7;29.9;7.1;7.8;6.3;5.0;5.7;5.0;5.9;6.3;5.7;6.1;5.5;5.9;0.0;0.0;0.0;0.0;0.4;1.5;0.0;0.0;0.0
2009-04-30;32.4;13.9;27.2;7.1;5.8;6.0;4.9;0.0;0.0;0.0;32.8;33.9;30.6;13.8;16.1;16.1;27.3;23.2;26.7;7.0;7.5;7.3;5.5;5.5;5.3;6.2;6.0;5.6;5.0;4.8;5.5;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0
2009-05-31;32.9;13.8;26.4;7.5;5.0;6.0;5.4;0.0;0.0;0.0;32.4;34.0;31.4;13.9;15.2;15.9;27.2;23.9;24.2;7.1;7.1;7.8;5.8;5.0;5.5;6.0;5.9;6.6;4.9;6.1;5.8;0.0;0.0;0.0;0.0;0.0;1.4;0.0;0.0;0.0
2009-06-30;32.8;13.6;26.1;7.2;5.7;5.9;5.6;0.0;0.0;0.0;32.9;32.8;30.7;13.8;13.8;17.4;26.4;27.3;23.7;7.5;7.0;7.8;5.0;5.5;5.7;6.0;6.2;6.3;5.4;5.0;5.5;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0
2009-07-31;33.5;13.1;27.5;7.1;5.2;6.0;4.9;0.0;0.0;0.0;32.8;32.4;33.9;13.6;13.9;16.1;26.1;27.2;23.2;7.2;7.1;7.5;5.7;5.8;5.5;5.9;6.0;6.0;5.6;4.9;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009-08-31;32.3;14.1;25.6;7.5;5.9;6.1;5.3;0.0;0.0;0.0;33.5;32.9;34.0;13.1;13.8;15.2;27.5;26.4;23.9;7.1;7.5;7.1;5.2;5.0;5.0;6.0;6.0;5.9;4.9;5.4;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009-09-30;32.6;16.2;23.0;7.1;6.0;6.4;5.3;0.0;0.0;0.0;32.3;32.8;32.8;14.1;13.6;13.8;25.6;26.1;27.3;7.5;7.2;7.0;5.9;5.7;5.5;6.1;5.9;6.2;5.3;5.6;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009-10-31;35.3;19.3;22.8;6.1;5.4;4.4;4.1;0.0;0.0;0.0;32.6;33.5;32.4;16.2;13.1;13.9;23.0;27.5;27.2;7.1;7.1;7.1;6.0;5.2;5.8;6.4;6.0;6.0;5.3;4.9;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009-11-30;34.0;20.1;21.9;6.0;5.8;5.8;4.1;0.0;1.4;0.0;35.3;32.3;32.9;19.3;14.1;13.8;22.8;25.6;26.4;6.1;7.5;7.5;5.4;5.9;5.0;4.4;6.1;6.0;4.1;5.3;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009-12-31;30.7;21.5;23.1;7.2;5.4;5.4;4.1;0.0;1.8;0.0;34.0;32.6;32.8;20.1;16.2;13.6;21.9;23.0;26.1;6.0;7.1;7.2;5.8;6.0;5.7;5.8;6.4;5.9;4.1;5.3;5.6;0.0;0.0;0.0;1.4;0.0;0.0;0.0;0.0;0.0
2010-01-31;31.3;21.5;23.4;6.5;5.5;5.3;4.0;0.0;1.5;0.0;30.7;35.3;33.5;21.5;19.3;13.1;23.1;22.8;27.5;7.2;6.1;7.1;5.4;5.4;5.2;5.4;4.4;6.0;4.1;4.1;4.9;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0
2010-02-28;32.6;22.4;22.7;6.5;5.1;4.3;3.9;0.0;1.5;0.0;31.3;34.0;32.3;21.5;20.1;14.1;23.4;21.9;25.6;6.5;6.0;7.5;5.5;5.8;5.9;5.3;5.8;6.1;4.0;4.1;5.3;0.0;0.0;0.0;1.5;1.4;0.0;0.0;0.0;0.0
2010-03-31;31.1;22.2;23.7;6.2;5.2;4.8;4.1;0.0;1.6;0.3;32.6;30.7;32.6;22.4;21.5;16.2;22.7;23.1;23.0;6.5;7.2;7.1;5.1;5.4;6.0;4.3;5.4;6.4;3.9;4.1;5.3;0.0;0.0;0.0;1.5;1.8;0.0;0.0;0.0;0.0
2010-04-30;29.8;23.6;23.9;6.2;5.2;5.0;3.8;0.0;1.3;0.6;31.1;31.3;35.3;22.2;21.5;19.3;23.7;23.4;22.8;6.2;6.5;6.1;5.2;5.5;5.4;4.8;5.3;4.4;4.1;4.0;4.1;0.0;0.0;0.0;1.6;1.5;0.0;0.3;0.0;0.0
2010-05-31;30.2;24.3;22.6;5.9;5.4;4.9;4.1;0.0;1.3;1.3;29.8;32.6;34.0;23.6;22.4;20.1;23.9;22.7;21.9;6.2;6.5;6.0;5.2;5.1;5.8;5.0;4.3;5.8;3.8;3.9;4.1;0.0;0.0;0.0;1.3;1.5;1.4;0.6;0.0;0.0
2010-06-30;28.7;24.9;23.5;6.1;5.3;4.9;3.8;0.0;1.5;1.3;30.2;31.1;30.7;24.3;22.2;21.5;22.6;23.7;23.1;5.9;6.2;7.2;5.4;5.2;5.4;4.9;4.8;5.4;4.1;4.1;4.1;0.0;0.0;0.0;1.3;1.6;1.8;1.3;0.3;0.0
2010-07-31;29.0;25.5;22.3;5.6;5.4;5.1;4.3;0.0;1.4;1.5;28.7;29.8;31.3;24.9;23.6;21.5;23.5;23.9;23.4;6.1;6.2;6.5;5.3;5.2;5.5;4.9;5.0;5.3;3.8;3.8;4.0;0.0;0.0;0.0;1.5;1.3;1.5;1.3;0.6;0.0
2010-08-31;26.6;27.1;22.8;5.6;5.0;5.3;4.6;0.0;1.8;1.2;29.0;30.2;32.6;25.5;24.3;22.4;22.3;22.6;22.7;5.6;5.9;6.5;5.4;5.4;5.1;5.1;4.9;4.3;4.3;4.1;3.9;0.0;0.0;0.0;1.4;1.3;1.5;1.5;1.3;0.0
2010-09-30;27.5;27.2;22.9;5.5;5.0;4.6;4.5;0.0;1.6;1.2;26.6;28.7;31.1;27.1;24.9;22.2;22.8;23.5;23.7;5.6;6.1;6.2;5.0;5.3;5.2;5.3;4.9;4.8;4.6;3.8;4.1;0.0;0.0;0.0;1.8;1.5;1.6;1.2;1.3;0.3
2010-10-31;28.9;26.1;23.6;5.4;4.7;4.3;4.1;0.0;1.6;1.3;27.5;29.0;29.8;27.2;25.5;23.6;22.9;22.3;23.9;5.5;5.6;6.2;5.0;5.4;5.2;4.6;5.1;5.0;4.5;4.3;3.8;0.0;0.0;0.0;1.6;1.4;1.3;1.2;1.5;0.6
2010-11-30;27.7;26.2;24.1;5.5;4.9;4.6;4.4;0.0;1.5;1.0;28.9;26.6;30.2;26.1;27.1;24.3;23.6;22.8;22.6;5.4;5.6;5.9;4.7;5.0;5.4;4.3;5.3;4.9;4.1;4.6;4.1;0.0;0.0;0.0;1.6;1.8;1.3;1.3;1.2;1.3
